序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
13,商洛担保,48491.7,-26.51%,76.92%
14,浐灞担保,46810.4,40.63%,96.3%
15,渭南担保,41037.8,-21.14%,98.8%
16,佳县担保,15057.7,43.44%,100%
17,澄城担保,13953,20.34%,37.59%
18,榆正担保,13415,-10.15%,100%
19,神木担保,13160,-41.59%,54.47%
20,靖边担保,12009,-33.38%,100%
21,黄陵担保,11830.5,-37.79%,100%
22,子洲担保,10743,213.07%,100%
23,蒲城担保,8871.9,-8.35%,100%
24,杨凌担保,8145,-27.89%,97.84%
25,子长担保,8023,75.4%,100%
26,曲江文化担保,7711.27,-92.88%,92.45%
27,白水担保,7430,-14.6%,100%
28,安塞担保,6226,41.89%,78.35%
29,吴起担保,4720,-59.11%,100%
30,吴堡担保,4076,-14.36%,100%
31,大荔担保,3030,-16.64%,100%
32,米脂担保,2840,-10.97%,100%
33,沣东担保,2667.7,-64.97%,32.72%
34,商州担保,2386,98.83%,49.03%
35,西安航天担保,2032.51,-57.82%,87.14%
36,高陵担保,1859.2,-27.96%,11.76%
37,清涧担保,1413,-70.94%,100%
38,绥德担保,980,-80.23%,100%
合计,,3984455.6,4.71%,90.16%
﻿序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
2,中信银行,3200,0.06%
3,中国银行,225040,4.01%
4,交通银行,221886.83,3.96%
5,光大银行,2690,0.05%
6,兴业银行,35346.57,0.63%
7,农业银行,1405369.81,25.05%
8,北京银行,17150,0.31%
9,华夏银行,5110,0.09%
10,宁夏银行,9500,0.17%
11,工商银行,792697.17,14.13%
12,平安银行,800,0.01%
13,广发银行,500,0.01%
14,建设银行,274400.9,4.89%
15,微众银行,290668.24,5.18%
16,恒丰银行,19331,0.34%
17,成都银行,12425.64,0.22%
18,招商银行,30473.95,0.54%
19,村镇银行,79324.85,1.41%
20,民生银行,2146.26,0.04%
21,浙商银行,9826.39,0.18%
22,浦发银行,50501.49,0.9%
23,渤海银行,500,0.01%
24,秦农银行,79414,1.42%
25,西安银行,201452.16,3.59%
26,邮储银行,681180.03,12.14%
27,重庆银行,9450,0.17%
28,长安银行,212829.44,3.79%
29,陕西农信,936542.02,16.69%
合计,,5609756.76,100%
﻿序号,担保机构简称,实收资本(万元）,业务规模（万元）,规模占比,同比增减
1,西安小微担保,120500,1268873.8,28.16%,16.71%
2,西安财金担保,150000,837420.27,18.59%,14.29%
3,榆林担保,258630,391627.11,8.69%,21.6%
4,宝鸡担保,77650,299486.45,6.65%,-15.76%
5,咸阳担保,107850,282952.31,6.28%,2.04%
6,安康担保,181606.34,232916.45,5.17%,-7.11%
7,延安担保,154991.72,214362.19,4.76%,0.41%
8,西安创新担保,49541,172261.46,3.82%,-44.43%
9,汉中担保,71487.5,120172.7,2.67%,16.18%
10,西投保,503000,103177.43,2.29%,-70.42%
11,铜川担保,38387.11,68463.55,1.52%,17.34%
12,商洛担保,62229.14,63041.7,1.4%,-36.02%
13,西咸担保,100000,52994.6,1.18%,39%
14,循环担保,50000,49998.32,1.11%,0%
15,浐灞担保,150000,48610.4,1.08%,-7.97%
16,渭南担保,54318,41537.8,0.92%,-21%
17,澄城担保,30000,37115,0.82%,-7.94%
18,神木担保,30000,24160,0.54%,-43.55%
19,陕西文化担保,53000,20190,0.45%,-58.02%
20,长安担保,16000,16110,0.36%,15.48%
21,高陵担保,21000,15813.2,0.35%,-39.61%
22,佳县担保,7300,15057.7,0.33%,43.44%
23,榆正担保,30000,13415,0.3%,-10.15%
24,靖边担保,5000,12009,0.27%,-33.38%
25,黄陵担保,5000,11830.5,0.26%,-37.79%
26,子洲担保,5150,10743,0.24%,213.07%
27,蒲城担保,7000,8871.9,0.2%,-8.35%
28,曲江文化担保,121600,8341.27,0.19%,-92.44%
29,杨凌担保,28050,8325,0.18%,-27.58%
30,沣东担保,100000,8153.96,0.18%,-61.09%
31,子长担保,10500,8023,0.18%,75.4%
32,安塞担保,5104,7946,0.18%,13.71%
33,白水担保,5000,7430,0.16%,-14.6%
